股票代码,股票简称,现价(元),涨跌幅(%),同花顺三级行业龙头,所属同花顺行业,营业收入(元)2018.03.31,总市值(元)2018.06.01,净利润／营业总收入(%)2018.03.31,扣除非经常性损益后的净利润(元)2018.03.31
600577.SH,精达股份,3.68,-1.60,金属制品,机械设备-通用设备-金属制品,3263817271.38,7312912680.04,2.83,72241562.62
002340.SZ,格林美,6.82,-0.73,金属新材料Ⅲ,有色金属-新材料-金属新材料Ⅲ,3047638544.98,26177144925.54,6.07,155391354.85
000723.SZ,美锦能源,--,--,焦炭加工,采掘-煤炭开采加工-焦炭加工,3166300616.54,22295211313.86,11.11,313220942.10
000792.SZ,盐湖股份,12.31,0.41,钾肥,化工-化学制品-钾肥,2700922509.09,34157470768.26,-8.65,-280048379.11
002572.SZ,索菲亚,36.44,2.07,家具,轻工制造-家用轻工-家具,1243035987.52,32966319267.00,6.90,97230879.49
002327.SZ,富安娜,12.25,0.00,家纺,纺织服装-服装家纺-家纺,552332735.11,10671680649.00,17.54,87930609.71
002415.SZ,海康威视,38.95,0.62,计算机设备Ⅲ,电子-电子制造-电子系统组装,9364828201.00,357187640009.83,19.03,1808323790.71
300183.SZ,东软载波,15.38,0.79,集成电路,电子-半导体及元件-集成电路,165989576.75,7176928417.82,26.00,23904262.10
601800.SH,中国交建,12.26,0.49,基础建设,建筑材料-建筑装饰-基础建设,93253359275.00,173763226261.00,3.65,3366834456.00
002426.SZ,胜利精密,4.22,0.24,机械基础件,机械设备-通用设备-机械基础件,4590859205.50,14488789596.99,3.34,148954637.05
002270.SZ,华明装备,--,--,机床工具,机械设备-电气设备-其他电力设备,156781918.32,4469387678.60,17.72,18921939.52
600009.SH,上海机场,53.14,0.74,机场Ⅲ,交通运输-机场航运-机场Ⅲ,2280746766.58,101550710209.60,46.42,1017922934.36
600011.SH,华能国际,6.89,-1.29,火电,公用事业-电力-火电,43255634634.00,95796104290.76,3.99,1157354176.00
601579.SH,会稽山,11.43,-1.04,黄酒,食品饮料-饮料制造-黄酒,388768211.47,5754455200.00,22.35,84904316.03
601899.SH,紫金矿业,3.70,0.27,黄金,有色金属-有色冶炼加工-黄金,22863594836.00,78917590374.85,6.06,1051044330.00
600388.SH,龙净环保,14.09,0.07,环保设备,机械设备-专用设备-环保设备,1209477839.88,15052224000.00,7.74,77368577.54
300070.SZ,碧水源,16.09,1.32,环保工程及服务,公用事业-环保工程-环保工程及服务,2298460844.52,49929336207.38,7.03,152506322.87
600276.SH,恒瑞医药,73.90,-0.16,化学制剂,医药生物-化学制药-化学制剂,3857128089.89,272537565650.49,25.23,904018720.39
002001.SZ,新和成,19.44,-0.56,化学原料药,医药生物-化学制药-化学原料药,3045451020.04,42006347965.00,49.31,1483150753.83
002558.SZ,巨人网络,23.90,-0.33,互联网信息服务,信息服务-传媒-其他传媒,1069768310.43,48564874568.68,36.01,326465409.78
300180.SZ,华峰超纤,22.39,-0.18,合成革,化工-化工合成材料-合成革,716379327.18,14103293401.65,14.06,96102569.71
600026.SH,中远海能,5.04,0.20,航运Ⅲ,交通运输-港口航运-航运Ⅲ,2401635061.19,18483017566.03,-2.03,-85313354.84
600879.SH,航天电子,7.49,0.13,航天装备,国防军工-国防军工-航天装备,2676011456.95,20340149204.32,4.01,96216918.12
600893.SH,航发动力,24.00,0.50,航空装备,国防军工-国防军工-航空装备,2775205636.74,53726285466.00,-1.81,-116726295.41
601111.SH,中国国航,11.02,0.82,航空运输Ⅲ,交通运输-机场航运-航空运输Ⅲ,31606754000.00,143231657538.99,10.05,2600253000.00
600097.SH,开创国际,14.01,-0.85,海洋捕捞,农林牧渔-养殖业-海洋捕捞,371899377.54,3402024213.08,-6.14,-25107432.66
600737.SH,中粮糖业,7.78,0.65,果蔬加工,农林牧渔-农产品加工-其他农产品加工,3843224116.08,15861002678.15,9.17,306645383.20
002456.SZ,欧菲科技,17.51,0.46,光学元件,电子-光学光电子-光学元件,7558327406.60,47339937804.00,3.90,299112111.86
002372.SZ,伟星新材,25.00,0.44,管材,建筑材料-建筑材料-管材,663020630.91,25089135358.56,16.21,103100580.58
600611.SH,大众交通,4.65,0.87,公交Ⅲ,交通运输-公交-公交Ⅲ,784209369.30,9634044370.34,20.51,144048416.35
600761.SH,安徽合力,9.79,0.41,工程机械,机械设备-专用设备-工程机械,2271724829.94,7216762819.50,6.40,120265038.83
600377.SH,宁沪高速,9.66,0.31,高速公路Ⅲ,交通运输-公路铁路运输-高速公路Ⅲ,2822575100.00,48402660316.20,36.76,1017764735.00
600018.SH,上港集团,6.49,0.31,港口Ⅲ,交通运输-港口航运-港口Ⅲ,8643783336.98,150165411732.00,21.94,1550545337.38
000881.SZ,中广核技,9.52,0.21,改性塑料,综合-综合-综合Ⅲ,1325821014.11,10028180876.50,2.64,13090635.08
002470.SZ,金正大,8.19,0.00,复合肥,化工-化学制品-复合肥,6873888008.08,25862694006.24,8.93,515688254.37
002003.SZ,伟星股份,12.34,-0.08,辅料,纺织服装-纺织制造-辅料,422323701.61,7201194066.95,3.50,13830227.79
600160.SH,巨化股份,11.15,1.18,氟化工及制冷剂,化工-化学制品-氟化工及制冷剂,3991085428.77,23270561887.66,10.78,423506461.45
300373.SZ,扬杰科技,24.40,-1.09,分立器件,电子-半导体及元件-分立器件,395617563.71,11650728037.31,16.53,53742067.99
000519.SZ,中兵红箭,8.28,-0.12,非金属新材料,国防军工-国防军工-地面兵装,912885218.16,11620662412.32,9.28,76570162.27
600352.SH,浙江龙盛,13.17,1.47,纺织化学用品,化工-化学制品-纺织化学用品,4231365160.72,42195714224.20,25.51,764423912.88
600843.SH,上工申贝,9.85,0.20,纺织服装设备,机械设备-专用设备-纺织服装设备,701350250.94,4249872342.78,7.20,39609986.99
601668.SH,中国建筑,8.23,0.61,房屋建设,建筑材料-建筑装饰-房屋建设,270160699000.00,245400000000.00,3.89,8073832000.00
000002.SZ,万科A,26.79,3.08,房地产开发Ⅲ,房地产-房地产开发-房地产开发Ⅲ,30825615283.99,283758882236.96,5.77,825909677.02
600816.SH,安信信托,8.23,-0.36,多元金融,金融服务-保险及其他-多元金融,1589563138.55,45175079210.94,66.43,1056712540.35
600201.SH,生物股份,25.00,-0.12,动物保健,农林牧渔-农业服务-动物保健,557328263.99,22514801536.64,53.99,294524000.79
603288.SH,海天味业,76.18,2.95,调味发酵品,食品饮料-食品加工制造-调味发酵品,4694422947.44,199943319934.00,25.63,1149964028.55
002241.SZ,歌尔股份,11.42,1.06,电子系统组装,电子-电子制造-电子系统组装,4045738552.24,36669674612.40,4.48,98508117.41
002475.SZ,立讯精密,22.75,0.66,电子零部件制造,电子-电子制造-电子零部件制造,5403603788.89,71708945652.20,5.94,250513589.35
601727.SH,上海电气,6.30,-0.47,电源设备,机械设备-电气设备-电源设备,18419990000.00,81651690677.64,6.10,572484000.00
600406.SH,国电南瑞,16.59,0.42,电气自控设备,机械设备-电气设备-电气自控设备,3843922902.54,75951314551.25,2.76,81601956.11
002249.SZ,大洋电机,5.19,1.96,电机,机械设备-电气设备-电机,1943714496.21,12089197712.40,1.44,21359649.53
600562.SH,国睿科技,23.41,-0.64,地面兵装,国防军工-国防军工-地面兵装,174611833.36,11278909946.32,10.04,15989924.32
002493.SZ,荣盛石化,10.60,0.00,涤纶,化工-化工合成材料-涤纶,17681503572.50,60674400000.00,4.03,730410318.52
600426.SH,华鲁恒升,18.68,0.48,氮肥,化工-化学制品-氮肥,3438428590.32,30138762030.00,21.35,734655443.30
002600.SZ,领益智造,6.42,1.91,磁性材料,电子-电子制造-电子零部件制造,4275804922.35,42670799881.79,9.52,252060610.99
600409.SH,三友化工,10.14,0.70,纯碱,化工-基础化学-纯碱,4725937952.97,20787998941.36,9.78,429463917.72
300008.SZ,天海防务,5.52,0.18,船舶制造,国防军工-国防军工-船舶制造,434882103.66,5289689179.35,1.48,5050417.82
600104.SH,上汽集团,36.17,1.35,乘用车,交运设备-汽车整车-乘用车,234852509760.62,416749066889.55,5.88,8826628102.91
002186.SZ,全聚德,16.40,-0.06,餐饮Ⅲ,餐饮旅游-酒店及餐饮-餐饮Ⅲ,443225697.09,5083485978.40,9.11,36347956.49
000100.SZ,TCL集团,3.12,0.65,彩电,家用电器-视听器材-彩电,25629844055.00,42003910371.70,3.07,521159061.00
600176.SH,中国巨石,12.05,-1.87,玻纤,化工-化工新材料-玻纤,2494844789.39,43043351174.21,24.90,613294843.87
601636.SH,旗滨集团,4.80,0.42,玻璃制造,建筑材料-建筑材料-玻璃制造,1658429737.08,12838001563.80,19.43,271744172.04
600690.SH,青岛海尔,20.04,2.04,冰箱,家用电器-白色家电-冰箱,42655164567.37,119813963585.55,5.79,1761919417.70
300408.SZ,三环集团,23.51,1.51,被动元件,电子-半导体及元件-被动元件,806272222.42,40394304670.40,31.34,248647208.80
601318.SH,中国平安,62.47,1.31,保险Ⅲ,金融服务-保险及其他-保险Ⅲ,310452000000.00,1138213390611.00,9.33,25699000000.00
002701.SZ,奥瑞金,6.14,0.82,包装印刷Ⅲ,轻工制造-包装印刷-包装印刷Ⅲ,1993068275.00,14366876160.00,10.53,179321437.00
002129.SZ,中环股份,8.45,-7.94,半导体材料,机械设备-电气设备-电源设备,2801768459.75,24300533122.54,4.95,99886776.16
601933.SH,永辉超市,9.41,-0.42,百货零售,商业贸易-零售-百货零售,18767182733.10,90536571541.68,3.48,745545135.11
600519.SH,贵州茅台,752.97,1.06,白酒,食品饮料-饮料制造-白酒,17466166384.96,936005542758.00,49.64,8510778903.45
002254.SZ,泰和新材,11.63,-0.26,氨纶,化工-化工合成材料-氨纶,437554402.35,7122319776.00,8.27,32984322.30
600703.SH,三安光电,20.46,-0.78,LED,电子-光学光电子-LED,1944913494.68,84097122015.36,49.78,643251875.41
